key,zh,ms,ja,en,ko
field.key,键,kunci,キ,key,키
field.last_template,最后模板,templat terakhir,最後のテンプレート,last template,뒷표지 템플릿
field.license,许可证,lesen,ライセンス,license,라이센스
field.locale,语言环境,lokaliti,ロケール,locale,로케일
field.log,日志,log,ログ,log,로그
field.logic,逻辑,logik,logic,logic,로직
field.master,,master,マスター,master,마스터
field.master_field,主要信息组,ruangan master,master field,master field,master field
field.menu,菜单,menu,menu,menu,메뉴
field.menu_type,目录种类,jenis menu,menu type,menu type,menu type
field.message,信息,mesej,メッセージ,message,메시지
field.model,模型,model,モデル,model,모델
field.multi_save_url,,url multi-simpanan,マルチ保存Url,multi save url,멀티 저장 Url
field.name,名字,nama,名前,name,이름
field.netmask,子网掩码,netmask,ネットマスク,netmask,네트워크 마스크
field.note,备注,catatan,コメント,note,코멘트
field.nullable,可空,nullable,null値許容,nullable,널값 허용
field.options,选项,pilihan,オプション,options,옵션
field.owner,所有人,pemilik,管理者,owner,소유자
field.owner-type,所有者类型,jenis pemilik,所有者タイプ,owner type,소유자 종류
field.owner-user,所有人,pemilik,管理者,owner,소유자
field.page_size,页面大小,saiz halaman,ページサイズ,page size,크기
field.pagination,分页,penomboran,pagination,pagination,pagination
field.params,参数,parameter,パラメーター,parameters,파라미터
field.parent,母系统,parent,parent,parent,parent
field.parent-domain,父域名,domain induk,親ドメイン,parent domain,부모도메인
field.password,密码,kata laluan,パスワード,password,비밀번호
field.phone,电话号码,telefon,電話,phone,전화
field.private-key,私钥,Kunci peribadi,プライベートキー,private key,private key
field.privilege,特权,keistimewaan,特権,privilege,권한
field.privileges,权限,Keistimewaan,権限,privileges,권한
field.progress,进展,kemajuan,進捗,progress,진척
field.range_val,数据范围,jarak antara nilai,range val,range val,range val
field.rank,排行,susunan,順位,rank,순위
field.receivers,接收器,senarai penerima,受信者リスト,receivers,수신자 리스트
field.ref_field,,ruang rujukan,ref field,ref field,ref field
field.ref_name,参考名称,nama rujukan,ref name,ref name,ref name
field.ref_params,参考参数,parameter rujukan,ref params,ref params,ref params
field.ref_related,参考有关,rujukan berkaitan,ref related,ref related,ref related
field.ref_type,参考类型,jenis rujukan,ref type,ref type,ref type
field.ref_url,参考网址,url rujukan,ref url,ref url,ref url
field.register-account,注册账户,daftar akaun,アカウント登録,account,계정 등록
field.required privilege,必需权限,keperluan keistimewaan,必要な権限,required privilege,필수 권한
field.required role,所需角色,peranan diperlukan,必要な役割,required role,필수 역할
field.resource_name,资源名称,nama sumber,resource name,resource name,resource name
field.resource_type,资源种类,jenis sumber,resource type,resource type,resource type
field.resource_url,资源url,url sumber,resource url,resource url,resource url
field.result,结果,Hasil,けっか,result,결과
field.reverse_sort,相反分类,susun kebelakang,逆整列,reverse sort,역정렬
field.roles,角色,Peranan,ルール,roles,규칙
field.rounds,回合,pusingan,回目,rounds,회차
field.routing,路由,penghalaan,routing,routing,라우팅
field.routing_type,路由类型,jenis penghalaan,routing type,routing type,routing type
field.save_url,储存url,simpan url,save url,save url,save url
field.schedule,日程,jadual,スケジュール,schedule,스케줄
field.schedule-application,申请,permohonan,申請,application,어플리케이션
field.schedule-operation,操作,operasi,操作,operation,오퍼레이션
field.search_editor,搜索编辑,penyunting carian,search editor,search editor,search editor
field.search_init_val,初始搜索,nilai asal carian,search init val,search init val,search init val
field.search_name,搜索名称,nama carian,search name,search name,search name
field.search_oper,搜索工具,operater carian,search oper,search oper,search oper
field.search_rank,搜索排行,susunan carian,検索順位,search rank,검색 순위
field.search_url,搜索url,url carian,検索URL,search url,검색 URL
field.serial-no,序列号,nombor siri,シリアル番号,serial #,일련번호
field.sign in,登录,log masuk,ログイン,sign in,로그인
field.sign out,退出,log keluar,ログアウト,sign out,로그아웃
field.sign up,注册,daftar akaun,ユーザー登録,sign up,사용자 등록
field.skip,跳过,langkau,スキップ,skip,건너뛰기
field.sort_rank,分类排行,susun susunan,整列順位,sort rank,정렬 순위
field.source-domain,源域,domain sumber,ソースドメイン,source domain,소스 도메인
field.state,,,,state,상태
field.state-value,状态值,nilai keadaan,状態値,state value,상태값
field.status,状态,status,状態,status,상태
field.style,样式,gaya,style,style,스타일
field.subdomain,子域名,domain-sub,サブ ドメイン,subdomain,서브도메인
field.supervisor,主管,penyelia,監督者,supervisor,감독자
field.system brief,系统信息,maklumat sistem,システム情報,system brief,시스템 정보
field.system-user,系统用户,pengguna sistem,システムユーザー,system user,시스템 사용자
field.system_flag,系统标志,bendera sistem,system_flag,system_flag,system_flag
field.table_name,,nama jadual,テーブル名,table_name,테이블 이름
field.tag,tag,tag,タグ,tag,태그
field.tags,标签,tag,タグ,tags,태그
field.target-domain,目标域,domain sasaran,ターゲットドメイン,target domain,타겟 도메인
field.task,任务,tugas,タスク,task,작업
field.template,型板,templat,template,template,템플릿
field.tenant-id,租户ID,ID penyewa,テナントID,tenant id,tenant id
field.term,术语,terma,用語,term,용어
field.text,文体,teks,text,text,텍스트
field.theme,主题,tema,テーマ,theme,테마
field.thumbnail,缩略图,lakaran,プレビュー,thumbnail,미리보기
field.timezone,时区,zon masa,タイムゾーン,timezone,타임존
field.title,题目,tajuk,タイトル,title,제목
field.title_field,标题纵行,ruang tajuk,タイトル フィールド,title field,타이틀 필드
field.token,代币,token,認証トークン,token,인증 토큰
field.total_prop,总属性,jumlah properti,total prop,total prop,total prop
field.ttl-seconds,TTL(秒),TTL(detik),TTL(秒),TTL(seconds),TTL(초)
field.type,类型,jenis,分類,type,분류
field.uniq_rank,特殊排行,susunan unik,uniq rank,uniq rank,uniq rank
field.updated-at,更新于,updated at,修正日時,updated at,수정일시
field.updated_at,更新于,updated at,修正日時,updated at,수정일시
field.updater,更新者,updater,修正者,updater,수정자
field.url,url,url,url,url,url
field.user,用户,Pengguna,ユーザー,user,사용자
field.user-id or email,用户名或电子邮件,ID pengguna atau e-mel,ユーザーIDまたはメール,user id or email,사용자 아이디 또는 이메일
field.user-type,用户类型,jenis pengguna,ユーザー タイプ,user type,사용자유형
field.user_account,用户账号,Akaun pengguna,ユーザー アカウント,user account,사용자 계정
field.user_id,用户id,id pengguna,ユーザーID,user_id,사용자ID
field.user_type,用户类型,Jenis pengguna,ユーザー タイプ,user type,사용자 유형
field.username,用户名,ID pengguna,ユーザーID,user id,사용자 아이디
field.value,值,nilai,値,value,값
field.version,版本,versi,バージョン,version,버전
field.view_section,观看区块,lihat seksyen,view section,view section,view section
field.virtual_field,模拟信息组,ruang maya,virtual field,virtual field,virtual field
field.visibility,可见性,ketaraan,可視性,visibility,가시성
field.watermark,水印,tanda air,ウォーターマーク,watermark,워터마크
field.wrote-at,编写日期和时间,tarikh & masa penulisan,作成日時,wrote at,작성일시
label.3dcontainer-style,3D容器样式,Gaya Bekas 3D,3次元コンテナ スタイル,3d containerstyle,3차원 컨테이너 스타일
label.3dish,立体,3D,3D,3D,3D
label.3dmode,三维模式,Mod 3D,3次元モード,3D Mode,3차원 모드
label.Department,部门,jabatan,部署,department,부서
label.Employee,员工,pekerja,従業員,employee,직원
label.MyDepartment,我的部门,jabatan saya,私の部署,my department,내 부서
label.MySupervisor,我的主管,penyelia saya,私の上司,my supervisor,내 관리자
label.Myself,我自己,diri saya,私自身,myself,나
label.QoS,QoS,QoS,QoS,QoS,QoS
label.Role,角色,peranan,役割,role,역할
label.about-system,关于系统,Maklumat sistem,システム情報,about system,시스템 정보
label.access token,访问令牌,token akses,アクセストークン,access token,액세스 토큰
label.accessor,访问器,pencapai,アクセサー,accessor,접근자
label.accessor-item,访问器项,Item Pencapai,アクセサーのアイテム,Accessor's Item,접근자 아이템명
label.accessor-target,访问器目标,Sasaran Pencapai,アクセサーのターゲット,Accessor's Target,접근자 대상
label.accumulator_avg,平均,Purata,平均,avg,평균
label.accumulator_count,计数,Kiraan,カウント,cnt,계수
label.accumulator_max,最小,Minimum,最小,min,최소
label.accumulator_min,最大,Maksimum,最大,max,최대
label.accumulator_sum,总和,Jumlah,合計,sum,합계
label.action,action,Tindakan,action,action,action
label.activated-user,用户已激活,diaktifkan,正常,activated,정상
label.activation,激活,Aktif,アクティブ化,Active,활성화
label.active,是否激活,,アクティブ化,Active,활성화
label.active index,活动索引,indeks aktif,アクティブインデックス,active index,활성 페이지
label.active-fill-style,激活填充颜色,Gaya Isian Aktif,アクティブ タブの塗りつぶしスタイル,active fill style,활성탭 채우기 스타일
label.active-font-color,激活字体颜色,Warna Fon Aktif,アクティブ タブの文字の色,active font color,활성탭 글씨 색상
label.active-line-color,激活线颜色,Warna Garisan Aktif,アクティブ タブの枠線,active line color,활성탭 테두리 색상
label.active-line-width,激活线宽度,Lebar Garisan Aktif,アクティブ タブの枠太さ,active line width,활성탭 테두리 굵기
label.active-type,,Jenis Aktif,,,
label.active_request,申请激活,Permintaan,アクティブ化要求,Request,활성화 요청
label.add,添加,,追加,add,추가
label.add-card,添加卡片,tambah kad,カードを追加,add card,카드 추가
label.add-floor,添加楼层,tambah tingkat,階を追加,add floor,플로어(층) 추가
label.add-new-font-family,增加新字体,,フォント ファミリー追加,add new font-family,폰트패미리 추가
label.address,地址,alamat,アドレス,address,주소
label.admin,管理员,Admin,管理者,Admin,관리자
label.admin-email,管理员邮件,,管理者メール,Admin Email,관리자 이메일
label.admin-name,管理员名称,,管理者名,Admin Name,관리자 이름
label.admin-user,管理用户,admin,管理者,admin,관리자
label.agent-url,打印代理地址,,Agent URL,Agent URL,Agent URL
label.alias,别名,alias,別名,alias,별칭
label.align,对其,,揃え,Align,정렬
label.align-bottom,底部,Bawah,下,bottom,하단
label.align-left,左侧,Kiri,左,left,왼쪽
label.align-right,右侧,Kanan,右,right,오른쪽
label.align-top,顶部,Atas,上,top,상단
label.alignment,,Penjajaran,,,
label.all,all,,全体,all,전체
label.allow push message,允许推送消息,benarkan mesej tolak,プッシュメッセージ受信許可,allow push message,푸시 메시지 받기 허용
label.alltime-focus,始终聚焦,fokus sepanjang masa,常時フォーカス,alltime focus,상시 포커스
label.alltime-focus-pending,始终等待聚焦,menunggu fokus sepanjang masa,常時フォーカス保留,alltime focus pending,상시 포커스 지연 시간
label.anim-from-base,从基础动画,animasi dari pangkalan,ベースからアニメーション,animation from base,바닥값부터 애니메이션
label.animation,动画效果,kesan animasi,アニメーション効果,animation effect,애니메이션 효과
label.animation-interval,动画间隔,,アニメーション間隔,animation-interval,재생 간격
label.annotation-text,文本,teks,テキスト,text,텍스트
label.anti-alias,图形保真,,アンチエイリアシング,anti aliasing,안티앨리어싱
label.api-key,API密钥,,api key,api key,api key
label.api-provider,API 提供者,Penyedia API,APIプロバイダー,API provider,API 제공자
label.api-url,API地址,,APIアドレス,API URL,API주소
label.application,应用程序,aplikasi,応用プログラム,application,응용프로그램
label.application_settings,,Tetapan Aplikasi,,,
label.apply,,Terapkan,,,
label.approval_status,,Status Kelulusan,,,
label.approved,,Diluluskan,,,
label.around,,Sekitar,,,
label.as_staff,,Sebagai Staf,,,
label.as_student,,Sebagai Pelajar,,,
label.attachment,附件,,添付ファイル,Attachment,첨부파일
label.attachment-id,附件ID,,添付ファイルID,Attachment ID,첨부파일 ID
label.auth,权限,,権限,authority,권한
label.auth-client,认证客户端,klien oauth2,oauth2クライアント,oauth2 client,oauth2 클라이언트
label.auth-domain,验证域,,auth domain,auth domain,auth domain
label.auth-key,认证密钥,Kunci pengesahan,認証キー,authentication key,인증 키
label.auth-tenant-id,租户 ID,ID penyewa,テナント ID,auth tenant id,테넌트 아이디
label.authorization,授权,,authorization,authorization,authorization
label.authtype,授权类型,jenis autentikasi,認証タイプ,auth-type,인증 유형
label.auto refresh board view,,,ボード ビュー自動リフレッシュ,auto refresh board view,보드 뷰 자동 리프레시
label.auto-refresh-board-view,自动刷新看板视图,,,,
label.auto-rotate,自动旋转,,自動回転,auto rotate,자동 회전
label.auto-start,自动启动,Auto-mula,自動開始,Auto-start,자동 시작
label.autofocus,初始化焦点,fokus pada inisiasi,初期フォーカス,focus on init,시작시 포커스
label.autoplay,自动播放,,自動再生,autoplay,자동플레이
label.autostart,自动开始,mula auto,自動開始,auto start,자동 시작
label.axes,轴,paksi,軸,axes,축
label.axis-max,最大值,nilai maksimum,最大値,maximum value,최대값
label.axis-max-auto,最大值自动,nilai maksimum auto,最大値自動,maximum value auto,최대값 자동
label.axis-min,最小值,nilai minimum,最小値,minimum value,최소값
label.axis-min-auto,最小值自动,nilai minimum auto,最小値自動,minimum value auto,최소값 자동
label.axis-step-size,步长,langkah,ステップ,step size,스텝
label.back-side-template,背侧模板,,裏面テンプレート,back side template,뒷면 템플릿
label.back-to-info,,Kembali ke Maklumat,,,
label.background,,Latar Belakang,,,
label.background-color,背景颜色,,背景色,background color,배경 색상
label.balance,,Baki,,,
label.banned-user,黑名单用户,disenarai hitam,使用禁止,banned,사용금지
label.bar-spacing,条形间距,jarak bar,バー間隔,bar spacing,막대 간격
label.base-url,服务器地址,,Base URL,Base URL,Base URL
label.baseline_shift,,Alihan Garis Asas,,,
label.before-due-font-color,到期前字体颜色,warna fon sebelum tarikh akhir,期限前フォント色,before due font color,만기이전 폰트색상
label.before-due-progress-color,到期前进度颜色,warna kemajuan sebelum tarikh akhir,期限前進行色,before due progress color,만기이전 진행색상
label.begin-size,起始大小,,開始サイズ,begin size,시작 크기
label.begin-type,起始类型,,開始模様,begin type,시작 모양
label.below,,Di Bawah,,,
label.below-widget,,Di Bawah Widget,,,
label.beside,,Di Sisi,,,
label.bevel,斜面,,斜めの面,bevel,비스듬한 면
label.bin-locations,储物箱位置,bin locations,ビンの位置,bin locations,BIN 로케이션
label.blacklist,黑名单,senarai hitam,ブラックリスト,blacklist,블랙리스트
label.blank-stroke-style,空白斯托克风格,,空きスペース線スタイル,blank stoke style,빈공간 선 스타일
label.blue,,Biru,,,
label.board,看板,papan,ボード,board,보드
label.board id,板卡标识,ID papan,ボードID,board id,보드 ID
label.board-copy,看板复制（域，群组）,"salin papan (domain, kumpulan)",ボードコピー（ドメイン、グループ）,"board copy (domain, group)","보드 복제 (도메인, 그룹)"
label.board-template,看板模板,templat papan,ボードテンプレート,board template,보드 템플릿
label.board-type,看板类型,papan type,ボードタイプ,board type,보드 타입
label.board-type-main,主看板,main,メイン,main,메인보드
label.board-type-popup,弹出窗口,popup,ポップアップ,popup,팝업보드
label.board-type-sub,子看板,sub,サブ,sub,서브보드
label.body,主体,badan,body,body,body
label.bold,,Tebal,,,
label.boolean,布尔值,,True-False,boolean,True-False
label.border-color,边框颜色,,境界部分の色,border color,경계부분 색상
label.border-style,边框样式,,枠スタイル,border style,테두리 스타일
label.border-type,边框类型,,枠の種類,border type,테두리 종류
label.border-width,边框宽度,lebar sempadan,境界部分の幅,border width,경계부분 넓이
label.bottom,,Bawah,,,
label.box-color,盒子颜色,,ボックス色,box color,박스 색상
label.brand-name,商标名称,,ブランド名,Brand Name,브랜드 이름
label.brand_name,商标名称,,ブランド名,Brand Name,브랜드 이름
label.bring_forward,,Bawa Ke Depan,,,
label.bring_to_back,,Bawa Ke Belakang,,,
label.bring_to_front,,Bawa Ke Hadapan,,,
label.broker,代理,,broker,broker,broker
label.brown,,Coklat,,,
label.button_style,,Gaya Butang,,,
label.byte,,Bait,,,
label.cache,缓存,cache,キャッシュ,cache,cache
label.call_end_time,,Masa Tamat Panggilan,,,
label.call_phone_number,,Nombor Telefon Panggilan,,,
label.call_start_time,,Masa Mula Panggilan,,,
label.camera-x,摄像机X,camera X,カメラX,camera X,카메라 X
label.camera-y,摄像机Y,camera Y,カメラY,camera Y,카메라 Y
label.camera-z,摄像机Z,camera Z,カメラZ,camera Z,카메라 Z
label.cancel-request-confirm,,Batal,,,
label.cancel-request-release,,Batal,,,
label.cap-type,线帽类型,,線端スタイル,cap type,선끝 스타일
label.cases,案例,kes,cases,cases,cases
label.cast-shadow,投射阴影,cast shadow,影の投射,cast shadow,그림자 생성
label.category,类别,kategori,カテゴリー,category,카테고리
label.category1,,Kategori 1,,,
label.category2,,Kategori 2,,,
label.category3,,Kategori 3,,,
label.center,,Tengah,,,
label.center_x,,Pusat X,,,
label.center_y,,Pusat Y,,,
label.change password,更改密码,tukar kata laluan,パスワード変更,change password,비밀번호 변경
label.change-group,更改组,,グループ変形,Group Change,그룹변경
label.change-password,,Tukar Kata Laluan,,,
label.char_spacing,,Ruangan Aksara,,,
label.chart,图表,carta,チャート,chart,차트
label.chart-annotation,注释,anotasi,アノテーション,annotation,어노테이션
label.chart-annotation-type,类型,jenis,タイプ,type,타입
label.chart-style,图表样式,gaya carta,チャートスタイル,chart style,차트 스타일
label.chart-type,图表类型,jenis carta,チャートタイプ,chart type,차트 유형
label.checkbox,,Kotak Semak,,,
label.checked,已勾选,,チェック済み,checked,체크됨
label.child-data-path,子数据路径,,child data path,child data path,child data path
label.choose-type,,Pilih Jenis,,,
label.circle,,Bulatan,,,
label.cl-border-color,中间线颜色,,CL境界色,CL border color,CL 경계 색상
label.cl-border-width,中间线宽度,,CL境界の広さ,CL border width,CL 경계 넓이
label.class,分组,,クラス,class,클래스
label.clear,清除,kosongkan,クリア,clear,비우기
label.clear all,全部清除,padam semua,全て削除,clear all,모두 삭제
label.client,客户端组件标识,ID komponen klien,クライアントコンポーネントID,Client component ID,클라이언트 컴포넌트 ID
label.client-id,客户端id,id pelanggan,クライアントID,client id,클라이언트 아이디
label.client-secret,客户端密钥,rahsia pelanggan,クライアントシークレット,client secret,클라이언트 시크릿
label.client_name,,Nama Pelanggan,,,
label.clientlib-path,客户端目录位置,laluan pustaka klien,クライアント位置,client library path,클라이언트 위치
label.closable,可关闭功能,Boleh Ditutup,閉じれる,closable,닫기 기능
label.close,,Tutup,,,
label.color,颜色,warna,色,color,색상
label.color-contrast,,Kontras Warna,,,
label.color-contrast-text,,Teks Kontras Warna,,,
label.color-fill-type,,Jenis Isian Warna,,,
label.color-line,,Warna Garisan,,,
label.color-placeholder,,Warna Placeholder,,,
label.color-stops,色站,,カラー ストップ,color stops,컬러스탑
label.column,,Lajur,,,
label.columns,列,,列,columns,열
label.command,命令,,コマンド,Command,커맨드
label.common-user,普通用户,pengguna biasa,一般,common,일반
label.company,公司,syarikat,会社,company,회사
label.company-name,,Nama Syarikat,,,
label.company-url,,URL Syarikat,,,
label.compass-style,指南针样式,,羅針盤スタイル,compass style,나침반 스타일
label.confirm,确定,sahkan,確認,confirm,확인
label.confirm-password,,Sahkan Kata Laluan,,,
label.confirmed-password,确认密码,,パスワード確認,Confirmed Password,비밀번호 확인
label.confirmed_password,确认密码,,パスワード確認,Confirmed Password,비밀번호 확인
label.confirmer,释放者,,配布者,Releaser,배포자
label.connection,连接,sambungan,コネクション,connection,커넥션
label.connection-name,连接名称,nama sambungan,接続名,Connection name,커넥션 이름
label.connectionTimeoutMillis,连接超时时间（毫秒）,Had Masa Sambungan (milisaat),接続タイムアウト（ミリ秒）,Connection Timeout (milliseconds),연결 시간 제한 (밀리초)
label.content,内容,kandungan,内容,content,내용
label.content-type,内容类型,jenis kandungan,コンテンツタイプ,content type,content type
label.contrast,,Kontras,,,
label.control-no,控制编号,nombor kawalan,管理番号,control No.,관리번호
label.control-type,控制类型,jenis kawalan,制御タイプ,Control type,작업 타입
label.controls,显示控件,tunjuk kawalan,コントロール表示,show controls,컨트롤 보이기
label.conveyor-type,传送带类型,,コンベアの種類,conveyor type,컨베이어 종류
label.copies,份数,salinan,コピー数,copies,프린트 매수
label.copy,复制,Salin,,,
label.copy-value-to-data,将值复制到数据,,ValueをDataで自動コピー,copy value to data,Value를 Data로 자동복사
label.count,计数,bilangan,カウント,count,수량
label.create,创建,Cipta,作成,create,생성
label.created-at,创建时间,,作成日時,created at,생성일시
label.created_at,,Dicipta pada,,,
label.created_by,,Dicipta oleh,,,
label.creator,创建人,,作成者,Creator,생성자
label.credentials,凭据,kelayakan,資格情報,credentials,credentials
label.cross-origin,Cross-Origin,,Cross-Origin,Cross-Origin,Cross-Origin
label.currency,,Mata Wang,,,
label.current_password,当前密码,,現在パスワード,Current Password,현재 비밀번호
label.curved,curved,,曲線形,curved,곡선형
label.custom-text,,Teks Tersuai,,,
label.customer_id,,ID Pelanggan,,,
label.customers,客户,pelanggan,顧客,customers,고객
label.cycle,周期,,周期,Cycle,주기
label.daily,每日的,harian,日間,daily,일간
label.dark,,Gelap,,,
label.data,值,Data,data,data,data
label.data-format,数据格式,format data,データ形式,data format,데이터 포멧
label.data-index,数据索引,,データ インデックス,data index,데이터 인덱스
label.data-key,数据引用,rujukan data,データ参照,data reference,데이터 참조
label.data-label-anchor,位置,kedudukan,位置,position,위치
label.data-label-offset,偏移,offset,オフセット,offset,오프셋
label.data-label-rotation,旋转角度,sudut putaran,回転角度,rotation angle,회전각
label.data-reflection,数据反映,pantulan data,データ反映,data reflection,데이타반영
label.data-spread,数据传播,,データ伝播,data spread,데이타 전파
label.data-spread-to,扩展到,sebar ke,スプレッド先,spread to,spread to
label.data-type,数据类型,,データ タイプ,Data type,데이터 타입
label.database,数据库,pangkalan data,データベース,database,데이타베이스
label.database-url,数据库URL,,database url,database url,database url
label.date,,Tarikh,,,
label.date-time,日期-时间,tarikh-masa,日付-時間,date-time,날자 시간
label.day,,Hari,,,
label.day-of-month,月日,hari dalam bulan,日付,day of month,날짜
label.day-of-week,星期几,hari dalam minggu,曜日,day of week,요일
label.days,天,hari,日,days,일
label.deactivation,退出激活,,非アクティブ化,Deactive,비활성화
label.debug,调试,,デバッグ ロギング,debug,디버그로깅
label.decay,衰减,decay,減衰,decay,감쇠
label.decrease-font,,Kecilkan Fon,,,
label.default label printer,[zh] default label printer,[ms] default label printer,ラベル プリンタ選択,default label printer,라벨 프린터 선택
label.default-color,默认颜色,,基本色,default color,기본 색상
label.default-image-storage,一般图片保存位置,,基本イメージ保存位置,Default Image Storage,기본 이미지 저장위치
label.delay,延迟,,遅延,Delay,지연
label.delete,删除,Padam,削除,Delete,삭제
label.delete account,删除户口,hapuskan akaun,アカウント削除,delete account,계정 삭제
label.delete-request-confirm,,Padam Permintaan,,,
label.delete-request-release,,Padam Permintaan,,,
label.deleted-user,已删除用户,pengguna dihapus,削除済み,deleted,삭제됨
label.demographics,,Demografi,,,
label.department,部门,jabatan,部署,department,부서
label.depth,深度,,深さ,depth,깊이
label.description,描述,penerangan,説明,description,설명
label.detail,,Butiran,,,
label.dialog-settings,,Tetapan Dialog,,,
label.dimension,尺寸,,大きさ,dimension,크기
label.direct-printer,直接打印机,pencetak langsung,直接プリンター,direct printer,연결 프린터
label.direction,方向,,方向,Direction,방향
label.disable,,Matikan,,,
label.disabled,关闭,,使用不能,disabled,사용불능
label.display,显示,,表示,Display,표시
label.display-tick,显示刻度,paparan tanda,目盛表示,display tick,눈금 표시
label.display-time,显示时间,masa paparan,表示時間,display time,표시 시간
label.distance,距离,distance,距離,distance,거리
label.divider,,Pengasing,,,
label.domain,域,domain,ドメイン,domain,도메인
label.domain-name,域名,,ドメイン名,Domain Name,도메인 이름
label.domain-owner,域名所有者,pemilik domain,ドメインオーナー,domain owner,도메인 관리자
label.domain-url,域地址,,ドメインURL,Domain URL,도메인 URL
label.domain_app,域应用程序,,ドメイン アプリケーション,domain application,도메인 애플리케이션
label.donut-style,圆环样式,,ドーナッツ スタイル,donut style,도넛 스타일
label.dpi,DPI,DPI,DPI,DPI,DPI
label.draggable,可拖动,Boleh Diseret,ドラッグ機能,draggable,드래깅 기능
label.dropdown,,Runcingkan,,,
label.dropdown-list,,Senarai Runcingkan,,,
label.due,到期,tamat tempoh,期限,due,종료시간
label.duration,持续时间,Tempoh,期間,Duration,지속시간
label.e_mail,,E-mel,,,
label.edit,,Sunting,,,
label.edit_group,,Edit Kumpulan,,,
label.email,电子邮件,emel,メール,email,이메일
label.email-id,邮件ID,,メールID,email ID,이메일 ID
label.email.contents,contents,contents,contents,contents,내용
label.email.from,from,from,from,from,보내는 사람
label.email.html,HTML,HTML,HTML,HTML,HTML
label.email.pass,pass,pass,pass,pass,패스워드
label.email.subject,subject,subject,subject,subject,제목
label.email.to,to,to,to,to,받는 사람
label.email.user,user,user,user,user,사용자
label.email_address,邮件地址,,メール,Email Address,메일
label.email_verified,,E-mel Disahkan,,,
label.emphasize,强调,,強調,emphasize,강조
label.emphasize-animation,强调线动画,,強調アニメーション,emphasize animation,강조 라인 애니메이션
label.emphasize-distance,强调线距离,,強調距離,border gap,강조 라인 거리
label.emphasize-line-width,强调线宽度,,強調線幅,border width,강조 라인 두께
label.employee,员工,pekerja,職員,employee,직원
label.enable,,Aktifkan,,,
label.encoding,加密,pengekodan,エンコーディング,encoding,엔코딩
label.encrypt,加密,enkripsi,暗号化,encrypt,암호화
label.end-alpha,结束阿尔法,,終了透明度,End Alpha,종료 투명도
label.end-angle,结束角度,,端の角度,end angle,끝부분 각도
label.end-size,结束大小,,端のサイズ,end size,끝 크기
label.end-time,结束时间,masa tamat,終了時間,end time,완료 시간
label.end-type,结束类型,,端の模様,end type,끝 모양
label.end-value,结束值,,端の値,end value,끝값
label.endian,尾数,endian,endian,endian,endian
label.endpoint,端点,Titik akhir,エンドポイント,Endpoint,엔드포인트
label.english-only,仅英文输入,hanya input bahasa Inggeris,英語のみ入力,english input only,영어만 입력받음
label.enter-verification-code,,Masukkan Kod Pengesahan,,,
label.environment,,Persekitaran,,,
label.error,异常,,エラー,Error,에러
label.error-propagation,错误传播,penyebaran ralat,エラー伝播,error propagation,오류 전파
label.eval,评估,,関数,eval,함수
label.examples,例子,contoh,例示,examples,예시
label.export,,Eksport,,,
label.export-locale-file,,Eksport Fail Lokal,,,
label.fail_reason,,Sebab Gagal,,,
label.failure,,Gagal,,,
label.fallback,备用,fallback,フォールバック,fallback,기본값
label.false,,Palsu,,,
label.family_name,,Nama Keluarga,,,
label.far,FAR,,Far,Far,Far
label.fetch-on-load,加载时获取,muat pada muat,ロード時のフェッチ,fetch on load,fetch on load
label.field,字段,Medan,フィールド,field,필드
label.file,文件,fail,ファイル,file,파일
label.fill,填充,isian,塗り,fill,채우기
label.fill-style,填充颜色,,塗りつぶしスタイル’,fill style,채우기 스타일
label.fill_color,,Warna Isian,,,
label.filter,过滤器,penapis,フィルター,filters,필터
label.final_confirm,最终确认,,最終確認,Final Confirmation,최종 확인
label.find_sth,,Cari {sth},,,
label.first-name,,Nama Pertama,,,
label.first_name,,Nama Pertama,,,
label.fit,匹配,,合わせる,Fit,맞춤
label.fixed,,Tetap,,,
label.float type,浮点型,jenis titik terapung,浮動小数点タイプ,floating point type,부동소숫점 유형
label.floor,层,,階,floor,층
label.font,字体,fon,フォント,font,폰트
label.font-code,字体代码,,フォント コード,Font Code,폰트코드
label.font-color,字体颜色,warna fon,フォント色,font color,폰트 색상
label.font-family,字体,,フォント ファミリー,font family,폰트패미리
label.font-size,大小,saiz,サイズ,size,크기
label.foreground,,Latar Depan,,,
label.forgot-password,,Lupa Kata Laluan,,,
label.form-data,,Data Borang,,,
label.formal_name,,Nama Rasmi,,,
label.format,格式,format,フォーマット,format,포멧
label.format-run,计时格式,format masa,時間フォーマット,time format,카운트다운 포맷
label.format-stop,停止,berhenti,停止,stopped,멈춤포맷
label.fov,FOV,,FOV,FOV,FOV
label.from,,Dari,,,
label.front-side-template,前端模板,,表面テンプレート,front side template,앞면 템플릿
label.full_name,,Nama Penuh,,,
label.gamma-factor,伽马因子,gamma factor,ガンマ係数,gamma factor,감마 인자
label.gantt-column-config,列配置.,konfigurasi lajur.,列設定.,column config.,컬럼 설정
label.gantt-from-date,起始日期,tarikh mula,開始日,from date,시작일
label.gantt-gridline,网格线,garis grid,グリッド線,gridline,그리드라인
label.gantt-task-end-date,结束日期,tarikh tamat,終了日,end date,종료 날짜
label.gantt-task-id,ID,id,ID,ID,아이디
label.gantt-task-previous,以前,sebelumnya,前,previous,이전
